Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
17531,Kabura Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,WEST ALEGO,Operational,No,No,No,No,,Yes,Yes,No
17530,Umer Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,UGENYA,ugenya,EAST UGENYA,Operational,No,No,No,No,,Yes,Yes,No
17529,Matibabu Ukwala Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,SIAYA,UGENYA,ugenya,UKWALA,Operational,No,No,No,No,,Yes,Yes,No
17527,Kambare Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,GEM,gem,SOUTH GEM,Operational,No,No,No,No,,Yes,Yes,No
17525,Lidha Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,GEM,gem,SOUTH GEM,Operational,No,No,No,No,,Yes,Yes,No
17524,Ashburn Ohuru Clinic,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Other,0,0,SIAYA,ALEGO USONGA,alego usonga,SOUTH EAST ALEGO,Operational,No,No,No,No,,Yes,Yes,No
17523,Mur Malanga Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,SOUTH EAST ALEGO,Operational,No,No,No,No,,Yes,Yes,No
17522,Future Life Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,0,0,SIAYA,ALEGO USONGA,alego usonga,SIAYA TOWNSHIP,Operational,No,No,No,No,,Yes,Yes,No
17521,Randago Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,SOUTH EAST ALEGO,Operational,No,No,No,No,,Yes,Yes,No
17519,Enanga Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KAKAMEGA,KHWISERO,khwisero,KISA EAST,Operational,No,No,Yes,No,,Yes,Yes,No
17518,Masogo Dispensary (Gem),None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,GEM,gem,SOUTH GEM,Operational,No,No,No,No,,Yes,Yes,No
17517,St Lawrence Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,0,0,NYANDARUA,KINANGOP,kinangop,ENGINEER,Operational,No,No,No,No,,Yes,Yes,No
17516,Gongo Health Centre,None,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,4,1,SIAYA,GEM,gem,CENTRAL GEM,Operational,No,No,No,No,,Yes,Yes,No
17515,Oding Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,2,SIAYA,GEM,gem,EAST GEM,Operational,No,No,No,No,,Yes,Yes,No
17514,Mary Mission,None,Level 3,Basic primary health care facility,Private Enterprise (Institution),Ministry of Health,6,2,NAIROBI,DAGORETTI SOUTH,dagoretti south,NGANDO,Operational,Yes,No,Yes,No,,Yes,Yes,No
17513,Njete Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),2,2,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17512,Lihanda Health Centre,None,Level 3,Basic primary health care facility,Non-Governmental Organizations,Ministry of Health,4,0,SIAYA,GEM,gem,EAST GEM,Operational,No,No,Yes,No,,Yes,Yes,No
17511,North Star Alliance Clinic,None,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,MAKUENI,KIBWEZI WEST,kibwezi west,EMALI/MULALA,Operational,No,No,No,No,,Yes,Yes,No
17510,Muga Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,NYANDARUA,OLJOROOK,oljoroorok,WERU,Operational,No,No,Yes,No,,Yes,Yes,No
17507,Musau Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MAKUENI,KIBWEZI WEST,kibwezi west,EMALI/MULALA,Operational,No,No,Yes,No,,Yes,Yes,No
17504,Kema Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),1,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,No,No,Yes,No,,Yes,Yes,No
17503,St Thadeus Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,Yes,No,,Yes,Yes,No
17502,Mabanga Medical Clinic,4/1/6/5B,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE WEST,Operational,No,Yes,Yes,No,,Yes,Yes,No
17501,Musco Clinic,4/1/6/5B,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,Yes,Yes,No,,Yes,Yes,No
17499,Kwa Mbekenya Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYANDARUA,KINANGOP,kinangop,NORTH KINANGOP,Operational,No,No,No,No,,Yes,Yes,No
17492,Kabarnet Faith Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,BARINGO,BARINGO CENTRAL,baringo central,KAPROPITA,Operational,No,No,Yes,No,,Yes,Yes,No
17491,Victory Revival Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,RUIRU,ruiru,MWIHOKO,Operational,No,No,No,No,,Yes,Yes,No
17490,Nazareth Hospital (Ruiru),None,Level 3,Primary care hospitals,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,0,0,KIAMBU,RUIRU,ruiru,MWIHOKO,Operational,No,No,No,No,,Yes,Yes,No
17488,St Raphael Arch Medical,None,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Ministry of Health,9,2,UASIN GISHU,TURBO,turbo,KIPLOMBE,Operational,No,No,No,No,,Yes,Yes,No
17486,12 Engineers,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIAMBU,THIKA TOWN,thika town,HOSPITAL,Operational,No,No,No,No,,Yes,Yes,No
17484,Mariestopes,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Ministry of Health,0,0,KIAMBU,THIKA TOWN,thika town,KAMENU,Operational,No,No,No,No,,Yes,Yes,No
17483,Speak and Act,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIAMBU,RUIRU,ruiru,MWIHOKO,Operational,No,No,No,No,,Yes,Yes,No
17481,Bonjoge Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NANDI,ALDAI,aldai,KABWARENG,Operational,No,No,No,No,,Yes,Yes,No
17480,Lochorekuyen Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,LOIMA,loima,TURKWEL,Operational,No,No,No,No,,Yes,Yes,No
17479,Longech Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,TURKANA CENTRAL,turkana central,KANG'ATOTHA,Operational,No,No,No,No,,Yes,Yes,No
17478,Naotin Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,TURKANA CENTRAL,turkana central,KANAMKEMER,Operational,No,No,Yes,No,,Yes,Yes,No
17477,Kaitese Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,LOIMA,loima,TURKWEL,Operational,No,No,No,No,,Yes,Yes,No
17476,Kangalita Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,LOIMA,loima,KOTARUK/LOBEI,Operational,No,No,Yes,No,,Yes,Yes,No
17475,Kangirisae Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,TURKANA CENTRAL,turkana central,KERIO DELTA,Operational,No,No,Yes,No,,Yes,Yes,No
17474,Provincial Police Hq VCT,None,Level 2,VCT,Public Institution,Ministry of Health,0,0,NYERI,NYERI TOWN,nyeri central,RWARE,Operational,No,No,No,No,,Yes,Yes,No
17473,ACK Tumaini Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Private Practice,0,0,NYERI,NYERI TOWN,nyeri central,RWARE,Operational,No,No,No,No,,Yes,Yes,No
17472,Dakarh Medical Services,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MOMBASA,LIKONI,likoni,TIMBWANI,Operational,No,No,No,No,,Yes,Yes,No
17470,Soweto Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MOMBASA,CHANGAMWE,changamwe,AIRPORT,Operational,No,No,Yes,No,,Yes,Yes,No
17468,Kiamiriru MCK Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Ministry of Health,0,0,MERU,NORTH IMENTI,imenti north,NTIMA WEST,Operational,No,No,Yes,No,,Yes,Yes,No
17467,Nopri Medical Centre,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,4,1,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17466,Mercy Health Centre,None,Level 3,Basic primary health care facility,Other Faith Based,Kenya MPDB - Private Practice,0,0,UASIN GISHU,TURBO,turbo,KAMAGUT,Operational,No,No,No,No,,Yes,Yes,No
17463,Lagboqol Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR SOUTH,wajir south,LAGBOGHOI SOUTH,Operational,Yes,No,Yes,No,,Yes,Yes,No
17462,St Peter Orthodox Church Dispenasary,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Other,0,0,KIAMBU,KABETE,kabete,GITARU,Operational,No,No,Yes,No,,Yes,Yes,No
17460,Kulaaley Health Centre,None,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR SOUTH,wajir south,IBRAHIM URE,Operational,No,No,No,No,,Yes,Yes,No
17458,Njemuka Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,KIAMBU,kiambu town,NDUMBERI,Operational,No,No,Yes,No,,Yes,Yes,No
17454,Ngecha (PCEA) Health Centre,None,Level 3,Basic primary health care facility,Other Faith Based,Other,0,0,KIAMBU,LIMURU,limuru,NGECHA TIGONI,Operational,Yes,No,Yes,No,,Yes,Yes,No
17453,Faith Medical Centre,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,13,3,KITUI,MWINGI CENTRAL,mwingi central,CENTRAL,Operational,Yes,No,Yes,No,,Yes,Yes,No
17450,Muthale East Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,5,0,KITUI,KITUI WEST,kitui west,MUTONGONI,Operational,Yes,No,Yes,No,,Yes,Yes,No
17449,Kabati Maternity Nursing Home,None,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,6,0,KITUI,KITUI WEST,kitui west,KAUWI,Operational,Yes,No,Yes,No,,Yes,Yes,No
17448,Kabati Medical Centre,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,3,0,KITUI,KITUI WEST,kitui west,KAUWI,Operational,Yes,No,Yes,No,,Yes,Yes,No
17447,Musengo Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,2,0,KITUI,KITUI WEST,kitui west,KAUWI,Operational,Yes,No,Yes,No,,Yes,Yes,No
17446,Hope Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,LIMURU,limuru,NGECHA TIGONI,Operational,No,No,Yes,No,,Yes,Yes,No
17445,AHF EMALI  Clinic,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Private Practice,0,0,MAKUENI,KIBWEZI WEST,kibwezi west,EMALI/MULALA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17444,PCEA Karungaru Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Ministry of Health,0,0,THARAKA-NITHI,THARAKA,tharaka south,MARIMANTI,Operational,No,No,No,No,,Yes,Yes,No
17443,Kiima Kiu Health Care Services Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MAKUENI,KILOME,kilome,KIMA KIU/KALANZONI,Operational,Yes,No,Yes,No,,Yes,Yes,No
17442,Vololo Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MAKUENI,KIBWEZI WEST,kibwezi west,NGUU/MASUMBA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17441,Uvete Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MAKUENI,KILOME,kilome,MUKAA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17440,St Stephen's Children Clinic Gatondo,None,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Ministry of Health,0,0,EMBU,MANYATTA,manyatta,MBETI NORTH,Operational,No,No,No,No,,Yes,Yes,No
17439,Lieta Health Centre (Rarieda),None,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,SIAYA,RARIEDA,rarieda,SOUTH UYOMA,Operational,No,No,No,No,,Yes,Yes,No
17438,Wagoro Dispensary (Rarieda),None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,RARIEDA,rarieda,WEST UYOMA,Operational,No,No,No,No,,Yes,Yes,No
17437,Rambugu Dispensary (Rarieda),None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,RARIEDA,rarieda,WEST ASEMBO,Operational,No,No,No,No,,Yes,Yes,No
17436,Uzima Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,NYANDARUA,KINANGOP,kinangop,NYAKIO,Operational,No,No,Yes,No,,Yes,Yes,No
17435,Keera Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,KITUTU CHACHE NORTH,kitutu chache north,SENSI,Operational,No,No,No,No,,Yes,Yes,No
17434,Kariobangi South Clinic,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NAIROBI,EMBAKASI WEST,embakasi west,KARIOBANGI SOUTH,Operational,No,No,No,No,,Yes,Yes,No
17433,Katulye Dispensary-Nzaui,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MAKUENI,MAKUENI,makueni,NZAUI/KILILI/KALAMBA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17432,Bethany Health Services Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MAKUENI,MAKUENI,makueni,NZAUI/KILILI/KALAMBA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17431,AIC Kalamba Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,0,0,MAKUENI,MAKUENI,makueni,NZAUI/KILILI/KALAMBA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17430,Enzai Afya Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MAKUENI,KILOME,kilome,MUKAA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17429,St Stephen's Kiandagae (ACK) Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,KIRINYAGA,NDIA,kirinyaga west,KARITI,Operational,No,No,No,No,,Yes,Yes,No
17428,Oljabet Medical Clinic,None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,25,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,MARMANET,Operational,Yes,No,Yes,No,,Yes,Yes,No
17427,Mwea Dental Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KIRINYAGA,MWEA,kirinyaga south,TEBERE,Operational,No,No,Yes,No,,Yes,Yes,No
17426,Baraka Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Public Institution,Kenya MPDB - Institution,0,0,UASIN GISHU,KESSES,kesses,TULWET/CHIYAT,Operational,No,No,No,No,,Yes,Yes,No
17425,Emmah Medial Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Other,0,0,KIAMBU,GITHUNGURI,githunguri,KOMOTHAI,Operational,Yes,No,No,No,,Yes,Yes,No
17423,Gitura Dispensary-Kenol,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KANDARA,kandara,RUCHU,Operational,No,No,No,No,,Yes,Yes,No
17421,Giatutu Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,GATANGA,gatanga,MUGUMO-INI,Operational,No,No,No,No,,Yes,Yes,No
17420,Wanyaga Community Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,GATANGA,gatanga,KARIARA,Operational,No,No,No,No,,Yes,Yes,No
17418,Chomei Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,UASIN GISHU,KESSES,kesses,CHEPTIRET/KIPCHAMO,Operational,No,No,Yes,No,,Yes,Yes,No
17417,Kapkoi Disp,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Kenya MPDB - Institution,0,0,UASIN GISHU,KESSES,kesses,TARAKWA,Operational,No,No,No,No,,Yes,Yes,No
17414,Wananchi Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,UASIN GISHU,KAPSERET,kapseret,KIPKENYO,Operational,No,No,Yes,No,,Yes,Yes,No
17411,Mama Lucy Kibaki Hospital - Embakasi,None,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,112,12,NAIROBI,EMBAKASI WEST,embakasi west,UMOJA II,Operational,Yes,No,Yes,No,,Yes,Yes,No
17410,Mwikalikha Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,KHWISERO,khwisero,KISA NORTH,Operational,No,No,No,No,,Yes,Yes,No
17409,Emalindi Health Centre,None,Level 3,Basic primary health care facility,Ministry of Health,Other,2,0,KAKAMEGA,KHWISERO,khwisero,KISA EAST,Operational,No,No,No,No,,Yes,Yes,No
17408,Gitura Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,IGEMBE SOUTH,igembe south,MAUA,Operational,No,No,No,No,,Yes,Yes,No
17406,St Stephen (ACK) Cura Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,RUIRU,ruiru,MWIHOKO,Operational,No,No,No,No,,Yes,Yes,No
17404,Uhuru Presitige Health Care,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NAIROBI,MAKADARA,makadara,HARAMBEE,Operational,No,No,Yes,No,,Yes,Yes,No
17403,Tulwet Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Kenya MPDB - Institution,0,0,UASIN GISHU,KESSES,kesses,TULWET/CHIYAT,Operational,No,No,No,No,,Yes,Yes,No
17402,Cura Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,KABETE,kabete,GITARU,Operational,Yes,No,Yes,No,,Yes,Yes,No
17398,Women's Guild (PCEA) Uplands Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Other,0,0,KIAMBU,LARI,lari,LARI/KIRENGA,Operational,No,No,No,No,,Yes,Yes,No
17396,Kiambaa Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,KABETE,kabete,MUGUGA,Operational,No,No,No,No,,Yes,Yes,No
17395,Orthodox Maternity and Health Centre,None,Level 3,Basic primary health care facility,Other Faith Based,Other,0,0,KIAMBU,RUIRU,ruiru,MWIHOKO,Operational,No,No,No,No,,Yes,Yes,No
17394,Wema Medical Clinic,None,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Kenya MPDB - Institution,8,0,NAIROBI,KIBRA,kibera,SARANG'OMBE,Operational,Yes,No,Yes,No,,Yes,Yes,No
17393,Huduma Health Centre,None,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,2,0,NAIROBI,KIBRA,kibera,SARANG'OMBE,Operational,Yes,No,Yes,No,,Yes,Yes,No
17392,St Pery's Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NAIROBI,KIBRA,kibera,MAKINA,Operational,No,No,Yes,No,,Yes,Yes,No
17390,Southern Health Care,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,SOUTH C,Operational,No,No,Yes,No,,Yes,Yes,No
17389,Shree Cutchhi Leva Samaj Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,NAIROBI WEST,Operational,No,No,Yes,No,,Yes,Yes,No
17385,Tumaini Medical Centre (Sarang'ombe),None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,NAIROBI,KIBRA,kibera,SARANG'OMBE,Operational,No,No,Yes,No,,Yes,Yes,No
17384,Lang'ata Comprehensive Medical Service,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,MUGUMO-INI,Operational,No,No,No,No,,Yes,Yes,No
17379,Mutiokiama Health Centre,None,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MERU,IGEMBE SOUTH,igembe south,AKACHIU,Operational,No,No,No,No,,Yes,Yes,No
17377,Karanjee Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,LIMURU,limuru,NGECHA TIGONI,Operational,No,No,Yes,No,,Yes,Yes,No
17376,Victoria Sub District Hospital,None,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,25,2,KISUMU,KISUMU CENTRAL,kisumu central,MARKET MILIMANI,Operational,Yes,No,Yes,No,,Yes,Yes,No
17375,Sharom Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYANDARUA,OL KALOU,olkalou,KARAU,Operational,No,No,No,No,,Yes,Yes,No
17373,Renguti (PCEA) Women's Guild Clinic,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Other,0,0,KIAMBU,KIKUYU,kikuyu,NACHU,Operational,No,No,Yes,No,,Yes,Yes,No
17372,Primary Health Services,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,KABETE,kabete,KABETE,Operational,No,No,No,No,,Yes,Yes,No
17371,Tumaini Clinic (Kiambu West),None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,KABETE,kabete,MUGUGA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17365,Gichagini Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KANDARA,kandara,RUCHU,Operational,No,No,No,No,,Yes,Yes,No
17364,Heritage Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KIAMBU,KABETE,kabete,MUGUGA,Operational,No,No,Yes,No,,Yes,Yes,No
17363,Most Precious Blood Sisters Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Other,0,0,KIAMBU,KABETE,kabete,MUGUGA,Operational,No,No,No,No,,Yes,Yes,No
17362,St Angela Melici Health Centre,None,Level 3,Basic primary health care facility,Other Faith Based,Other,10,2,KIAMBU,KABETE,kabete,GITARU,Operational,Yes,No,Yes,No,,Yes,Yes,No
17357,Ningaini Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,MUKURWEINI,mukurweini,MUKURWE-INI WEST,Operational,No,No,No,No,,Yes,Yes,No
17355,Jowhar Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,TARBAJ,tarbaj,TARBAJ,Operational,No,No,No,No,,Yes,Yes,No
17354,Hargal Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,TARBAJ,tarbaj,TARBAJ,Operational,No,No,Yes,No,,Yes,Yes,No
17353,Dunto Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,TARBAJ,tarbaj,SARMAN,Operational,No,No,Yes,No,,Yes,Yes,No
17352,Barnet Memorial Hospital,None,Level 3,Primary care hospitals,Private Enterprise (Institution),Kenya MPDB - Private Practice,17,0,BARINGO,BARINGO CENTRAL,baringo central,KAPROPITA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17347,Rikendo Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,NYARIBARI CHACHE,nyaribari chache,IBENO,Operational,No,No,No,No,,Yes,Yes,No
